"symbol","object","owner","pass"
"AP(q_d)","AtomicityProfile","F2","FIN-F2-05"
"L_A(q_d)","AtomicLegSet","F2","FIN-F2-05"
"EffectSatisfied(l_i,t|AP)","AtomicLegEffectSatisfaction","F2","FIN-F2-05"
"AtomicComplete(q_d,t|AP)","AtomicCompletionPredicate","F2","FIN-F2-05"
"AtomicNoEffect(q_d,t|AP)","AtomicNoEffectPredicate","F2","FIN-F2-05"
"AtomicPartial(q_d,t|AP)","AtomicPartialPredicate","F2","FIN-F2-05"
"AtomicIndeterminate(q_d,t|AP)","AtomicIndeterminatePredicate","F2","FIN-F2-05"
"AtomicityResult(q_d,t|AP)","AtomicityClassification","F2","FIN-F2-05"
"M*_d(q_d)","DistributedIntendedMutationSet","F2-SPECIALIZATION-OF-F1","FIN-F2-05"
"M_d,econ(q_d,t)","DistributedRecognizedEconomicEffectSet","F2-SPECIALIZATION-OF-F1","FIN-F2-05"
